British Museum	1.0663294122759393E-4
Cambridge	1.0648852468387016E-4
Bolivia	1.0647469558158401E-4
Nobel Prize	1.0632480475977358E-4
Cairo	1.0623147853923335E-4
Swedish language	1.0619300375956166E-4
University of Pennsylvania	1.0604025368087995E-4
Tabloid (newspaper format)	1.0583032543628839E-4
Jimmy Carter	1.0572378619301788E-4
C (programming language)	1.0569602065113488E-4
Penguin Books	1.0515651609744934E-4
Dwight D. Eisenhower	1.0478916850464352E-4
Neolithic	1.0473725075297036E-4
Fox Broadcasting Company	1.0467311933469832E-4
Anatolia	1.0460015758193157E-4
Hillary Clinton	1.0450485200947293E-4
Jamaica	1.0440887446682197E-4
Brisbane	1.0436482364697028E-4
The Hollywood Reporter	1.0421396098042951E-4
Siberia	1.0418154241338729E-4
Bosnia and Herzegovina	1.0416676201330421E-4
U.S. News &amp; World Report	1.0383753105850654E-4
Cambridge, Massachusetts	1.03787202387666E-4
Jesus	1.0369474659484903E-4
Old English	1.0360132309621371E-4
The Globe and Mail	1.0354919021272694E-4
ITV (TV network)	1.0348268432299212E-4
Wyoming	1.0331726516047432E-4
Federal Register	1.0325647762426874E-4
Iraq War	1.0322450670820447E-4
Industrial Revolution	1.0313017346623549E-4
Denver	1.0291987572019653E-4
Indian Ocean	1.0256398721025837E-4
Rhode Island	1.0242358324623193E-4
Turkish language	1.0232974156841166E-4
Provinces and territories of Canada	1.0228653583596418E-4
Charles I of England	1.02282008189992E-4
Montana	1.0218150377446851E-4
Albert Einstein	1.0217624004592838E-4
Metacritic	1.0210659697874494E-4
Kazakhstan	1.0207532656774188E-4
Public company	1.0165169498307122E-4
Alexander the Great	1.0163868268476516E-4
Albania	1.0158824099958027E-4
Channel 4	1.0156855714031667E-4
Malta	1.0145337311535691E-4
Census-designated place	1.013865496547565E-4
New Brunswick	1.0108208615168749E-4
Tunisia	1.0043910182064155E-4
Kiev	1.0023468838531964E-4
The Hague	9.973376553360962E-5
Homer	9.954959021715489E-5
Woodrow Wilson	9.93196789136291E-5
Naples	9.92894858102217E-5
Spanish Empire	9.923333783965088E-5
Germans	9.916005974463057E-5
Human Development Index	9.914165335817201E-5
Science (journal)	9.913113947731796E-5
Charlemagne	9.896647778805816E-5
Scandinavia	9.812483941798813E-5
Delaware	9.809758016106344E-5
Latvia	9.80754162741036E-5
Greenland	9.798498237531161E-5
